title,url
Breast-shaped hill,https://en.wikipedia.org/wiki/Breast-shaped_hill
Manchester,https://en.wikipedia.org/wiki/Manchester
Eiffel Tower replicas and derivatives,https://en.wikipedia.org/wiki/Eiffel_Tower_replicas_and_derivatives
Folly,https://en.wikipedia.org/wiki/Folly
Gravity hill,https://en.wikipedia.org/wiki/Gravity_hill
having something in common with Rome,https://en.wikipedia.org/wiki/Seven_hills_of_Rome
truisms,https://en.wikipedia.org/wiki/Truism
Pizza farm,https://en.wikipedia.org/wiki/Pizza_farm
Recursive islands and lakes,https://en.wikipedia.org/wiki/Recursive_islands_and_lakes
Rocket garden,https://en.wikipedia.org/wiki/Rocket_garden
Spite house,https://en.wikipedia.org/wiki/Spite_house
Valeriepieris circle,https://en.wikipedia.org/wiki/Valeriepieris_circle
Bir Tawil,https://en.wikipedia.org/wiki/Bir_Tawil
Congo Pedicle,https://en.wikipedia.org/wiki/Congo_Pedicle
Gaet'ale Pond,https://en.wikipedia.org/wiki/Gaet%27ale_Pond
Jacob's Ladder,https://en.wikipedia.org/wiki/Jacob%27s_Ladder_(Saint_Helena)
Lake Nyos,https://en.wikipedia.org/wiki/Lake_Nyos
Cameroon,https://en.wikipedia.org/wiki/Cameroon
exploded in 1986,https://en.wikipedia.org/wiki/Lake_Nyos_disaster
Lake Monoun,https://en.wikipedia.org/wiki/Lake_Monoun
Lake Kivu,https://en.wikipedia.org/wiki/Lake_Kivu
Oklo Mine,https://en.wikipedia.org/wiki/Oklo_Mine
Peñón de Vélez de la Gomera,https://en.wikipedia.org/wiki/Pe%C3%B1%C3%B3n_de_V%C3%A9lez_de_la_Gomera
Moroccan,https://en.wikipedia.org/wiki/Morocco
tombolo,https://en.wikipedia.org/wiki/Tombolo
Spain,https://en.wikipedia.org/wiki/Spain
Republic of Benin (1967),https://en.wikipedia.org/wiki/Republic_of_Benin_(1967)
Blood Falls,https://en.wikipedia.org/wiki/Blood_Falls
iron oxide,https://en.wikipedia.org/wiki/Iron_oxide
Mawson Peak,https://en.wikipedia.org/wiki/Mawson_Peak
Australia,https://en.wikipedia.org/wiki/Australia
McMurdo Dry Valleys,https://en.wikipedia.org/wiki/McMurdo_Dry_Valleys
extremely saline body of water,https://en.wikipedia.org/wiki/Don_Juan_Pond
Marie Byrd Land,https://en.wikipedia.org/wiki/Marie_Byrd_Land
Mongolia,https://en.wikipedia.org/wiki/Mongolia
The Thing,https://en.wikipedia.org/wiki/The_Thing_from_Another_World
Artsvashen,https://en.wikipedia.org/wiki/Artsvashen
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Yukhari Askipara,https://en.wikipedia.org/wiki/Yukhari_Askipara
Barxudarlı,https://en.wikipedia.org/wiki/Barxudarl%C4%B1
Karki,"https://en.wikipedia.org/wiki/Karki,_Azerbaijan"
"Atar, Padang Ganting","https://en.wikipedia.org/wiki/Atar,_Padang_Ganting"
photocopier,https://en.wikipedia.org/wiki/Photocopier
Camp Bonifas,https://en.wikipedia.org/wiki/Camp_Bonifas
Dahala Khagrabari,https://en.wikipedia.org/wiki/Dahala_Khagrabari
enclave,https://en.wikipedia.org/wiki/Enclave
Darvaza gas crater,https://en.wikipedia.org/wiki/Darvaza_gas_crater
Karakum Desert,https://en.wikipedia.org/wiki/Karakum_Desert
Dhekelia Power Station,https://en.wikipedia.org/wiki/Dhekelia_Power_Station
Diomede Islands,https://en.wikipedia.org/wiki/Diomede_Islands
21 hours' time difference,https://en.wikipedia.org/wiki/International_Date_Line
Gangkhar Puensum,https://en.wikipedia.org/wiki/Gangkhar_Puensum
The tallest mountain nobody has ever summitted,https://en.wikipedia.org/wiki/Highest_unclimbed_mountain
Gate Tower Building,https://en.wikipedia.org/wiki/Gate_Tower_Building
Hallstatt (China),https://en.wikipedia.org/wiki/Hallstatt_(China)
Hanazono Room,https://en.wikipedia.org/wiki/Hanazono_Room
Jewish Autonomous Oblast,https://en.wikipedia.org/wiki/Jewish_Autonomous_Oblast
Siberia,https://en.wikipedia.org/wiki/Siberia
Yiddish,https://en.wikipedia.org/wiki/Yiddish
Kai Tak Airport,https://en.wikipedia.org/wiki/Kai_Tak_Airport
Karni Mata Temple,https://en.wikipedia.org/wiki/Karni_Mata_Temple
